149,CPRO,Central Proteina Prima Tbk,28-Nop-2006
150,CSAP,Catur Sentosa Adiprana Tbk,12-Des-2007
151,CTBN,Citra Tubindo Tbk,28-Nop-1989
152,CTRA,Ciputra Development Tbk,28-Mar-94
153,CTTH,Citatah Tbk,3-Jul-96
154,DAJK,PT Dwi Aneka Jaya Kemasindo Tbk.,14-Mei-2014
155,DART,Duta Anggada Realty Tbk,08-Mei-1990
156,DAYA,PT Duta Intidaya Tbk.,28-Jun-16
157,DEFI,Danasupra Erapacific Tbk,6-Jul-01
158,DEWA,Darma Henwa Tbk,26-Sep-07
159,DGIK,Nusa Konstruksi Enjiniring Tbk,19-Des-2007
160,DILD,Intiland Development Tbk,4-Sep-91
161,DKFT,Central Omega Resources Tbk,21-Nop-1997
162,DLTA,Delta Djakarta Tbk,12-Feb-84
163,DMAS,PT Puradelta Lestari Tbk.,29-Mei-2015
164,DNAR,PT Bank Dinar Indonesia Tbk.,11-Jul-14
165,DNET,PT Indoritel Makmur Internasional Tbk.,11-Des-2000
166,DOID,Delta Dunia Makmur Tbk,15-Jun-01
167,DPNS,Duta Pertiwi Nusantara Tbk,08-Agust-1990
168,DPUM,PT Dua Putra Utama Makmur Tbk.,08-Des-2015
169,DSFI,Dharma Samudera Fishing Ind. Tbk,24-Mar-00
170,DSNG,PT Dharma Satya Nusantara Tbk.,14-Jun-13
171,DSSA,Dian Swastatika Sentosa Tbk,10-Des-2009
172,DUTI,Duta Pertiwi Tbk,02-Nop-1994
173,DVLA,Darya-Varia Laboratoria Tbk,11-Nop-1994
174,DYAN,PT Dyandra Media International Tbk.,25-Mar-13
175,ECII,PT Electronic City Indonesia Tbk.,3-Jul-13
176,EKAD,Ekadharma International Tbk,14-Agust-1990
177,ELSA,Elnusa Tbk,6-Feb-08
178,ELTY,Bakrieland Development Tbk,30-Okt-1995
179,EMDE,Megapolitan Developments Tbk,12-Jan-11
180,EMTK,Elang Mahkota Teknologi Tbk,12-Jan-10
181,ENRG,Energi Mega Persada Tbk,7-Jun-04
182,EPMT,Enseval Putra Megatrading Tbk,01-Agust-1994
